Sr. No.,Academic Year,Month od school onboarding,Region,City,Channel,POC,School Name,School and Program,Program,Grade,Board,Fees Range,Strength Range,Strength,Rev/ student,Sum Product,Total Business,Category,Full year/ mid year
92,25-26,Jan'25,West,Mumbai,Direct,Rohit Gadre,Saraswati Vidyalaya,Saraswati Vidyalaya-STEM,STEM,,CBSE,30K-60K,751 - 1000,1000,1440,1440000,14.40,New-25-26,Full year
93,25-26,Jan'25,South 1,Bangalore,Direct,Sudha,St. Dominics,St. Dominics-Communication,Communication,,ICSE,30K-60K,Above 1000,1150,1370,1575500,15.76,New-25-26,Full year
94,25-26,Jan'25,South 1,Bangalore,Direct,Sudha,St. Dominics,St. Dominics-STEM,STEM,,ICSE,30K-60K,Above 1000,604,1400,845600,8.46,New-25-26,Full year
95,25-26,Jan'25,North,Delhi,Pre Sales,Poonam,Venkateshwar Global School,Venkateshwar Global School-STEM,STEM,,CBSE,ABOVE 120K,301 - 500,400,1400,560000,5.60,New-25-26,Full year
96,25-26,Jan'25,North,Lucknow,Channel Partner,Naziya Khan,Sacred Hearts,Sacred Hearts-Communication,Communication,,CBSE,30K-60K,301 - 500,500,1200,600000,6.00,New 25-26 - Dropped,Full year
97,25-26,Jan'25,South 1,Hyderabad,Direct,Sameer Das,CMR-1,CMR-1-Communication,Communication,,ICSE,90K-120K,Above 1000,1600,900,1440000,14.40,Renewal-25-26,Full year
98,25-26,Jan'25,South 1,Hyderabad,Direct,Sameer Das,CMR-1,CMR-1-Financial Literacy,Financial Literacy,,ICSE,90K-120K,751 - 1000,880,900,792000,7.92,Renewal-25-26,Full year
99,25-26,Jan'25,South 1,Hyderabad,Direct,Sameer Das,Rajdhani Residential School,Rajdhani Residential School-Communication,Communication,,CBSE,30K-60K,501-750,550,1836,1009800,10.10,Renewal-25-26,Full year
100,25-26,Jan'25,South 1,Bangalore,Direct,Sudha,Pragathi School,Pragathi School-Communication,Communication,,CBSE,60K-90K,751 - 1000,800,1200,960000,9.60,New 25-26 - Dropped,Full year
101,25-26,Jan'25,South 1,Bangalore,Referral,Sudha,Britian International,Britian International-Communication,Communication,,CBSE,30K-60K,Less than 300,250,1200,300000,3.00,New 25-26 - Dropped,Full year
102,25-26,Jan'25,South 2,Chennai,Direct,Gayathiri,Sri Sathya Sai,Sri Sathya Sai-Communication,Communication,,CBSE,30K-60K,Less than 300,300,1496,448800,4.49,New-25-26,Full year
103,25-26,Jan'25,South 1,Hyderabad,Event,Thanuja,Sri Vidya Vihar School,Sri Vidya Vihar School-Communication,Communication,,ICSE,90K-120K,301 - 500,500,1258,629000,6.29,New-25-26,Full year
104,25-26,Jan'25,South 1,Hyderabad,Event,Thanuja,Sri Vidya Vihar School,Sri Vidya Vihar School-STEM,STEM,,ICSE,90K-120K,301 - 500,500,1258,629000,6.29,New-25-26,Full year
105,25-26,Jan'25,West,Mumbai,Direct,Rohit Gadre,Milestone International School,Milestone International School-Communication,Communication,,ICSE,60K-90K,301 - 500,350,2200,770000,7.70,New 25-26 - Dropped,Full year
106,25-26,Jan'25,West,Pune,Direct,Nisha,Silver Birch International School,Silver Birch International School-Communication,Communication,,CBSE,30K-60K,751 - 1000,1000,1450,1450000,14.50,New 25-26 ,Full year
107,25-26,Jan'25,West,Pune,Direct,Nisha,"MIS International School, Hinjewadi","MIS International School, Hinjewadi-Communication",Communication,,CBSE,30K-60K,Less than 300,200,1150,230000,2.30,New-25-26,Full year
108,25-26,Jan'25,West,Pune,Direct,Nisha,"MIS International School, Balewadi","MIS International School, Balewadi-Communication",Communication,,CBSE,30K-60K,Above 1000,1123,1180,1325140,13.25,Renewal-25-26,Full year
109,25-26,Jan'25,West,Pune,Direct,Nisha,"MIS International School, Balewadi","MIS International School, Balewadi-Financial Literacy",Financial Literacy,,CBSE,30K-60K,751 - 1000,900,1180,1062000,10.62,Renewal-25-26,Full year
110,25-26,Jan'25,South 2,Chennai,Direct,Gayathiri,Mahalaxmi Vidya Mandir School,Mahalaxmi Vidya Mandir School-Communication,Communication,,CBSE,60K-90K,501-750,600,1250,750000,7.50,New-25-26,Full year
111,25-26,Feb'25,North,Delhi,Direct,Poonam,Mount Columbus School,Mount Columbus School -STEM,STEM,,CBSE,30K-60K,301 - 500,500,1250,625000,6.25,New-25-26,Full year
112,25-26,Feb'25,South 1,Hyderabad,Digital,Thanuja,Koman Concept School,Koman Concept School -Communication,Communication,,State Board,30K-60K,Less than 300,300,1370,411000,4.11,New-25-26,Full year
113,25-26,Feb'25,West,Mumbai,Direct,Rohit Gadre,Cambria International School Kalyan ,Cambria International School Kalyan -Cambirdge,Cambirdge,,IB,60K-90K,301 - 500,450,1275,573750,5.74,Renewal-25-26,Full year
